Bolide Luminosity and Fragmentation Simulation — v7
Dia: 1.3 m | Vel: 15.0 km/s | theta: 60.0 deg | Strength: 5.0e+05 → 1.0e+06 Pa

Initial area     = 5.3093e+00 m²
Initial mass     = 3.9112e+03 kg
Initial strength = 5.0000e+05 Pa

Initial altitude = 6.4681e+06 meters
Initial position = 0.0000e+00 meters
Initial velocity = 1.5000e+04 m/s
Initial time     = 0.0000e+00 s

Initial angle of entry = 60.000 deg
Initial angle of entry = 1.047 rad

Initial x-component velocity = 7.5000e+03 m/s
Initial z-component velocity = -1.2990e+04 m/s
Initial alpha angle          = 0.0000e+00 deg
Initial delta angle          = 3.0000e+01 deg
Initial gamma angle          = 3.0000e+01 deg
Initial flight path angle    = 6.0000e+01 deg
Initial downrange distance   = 0.0000e+00 meters
Initial Earth surface x-comp = 6.3781e+06 meters
Initial Earth surface z-comp = 6.3781e+06 meters

Setting total radiated energy to 0.0000e+00 J

T = 4.0708e+02  p = 1.8850e+00  rho = 1.6140e-05  a = 3.7436e+02  tau = 4.9977e-02  frag_stage = 0

time = 1.0800e-01  lum = 2.4733e+08  alt = 6.4667e+06  mass = 3.9068e+03  dia = 1.2995e+00  area = 5.3053e+00
KE = 4.3953e+11  v = 1.5000e+04  acc = 1.6797e+00  E_rad_ttl = 2.5134e+07  E_dep = 5.0292e+08  Fdrag = 3.6254e+03  theta_deg = 60.000
q_h = 4.1001e+07  q = 1.8222e+03  M = 4.0074e+01  T_stag = 6.5762e+04  p_stag = 1.8241e+03  T_surf = 5.3240e+03
T = 4.0696e+02  p = 1.8912e+00  rho = 1.6197e-05  a = 3.7431e+02  tau = 4.9977e-02  frag_stage = 0

time = 1.1100e-01  lum = 2.4820e+08  alt = 6.4667e+06  mass = 3.9066e+03  dia = 1.2995e+00  area = 5.3052e+00
KE = 4.3952e+11  v = 1.5000e+04  acc = 1.6775e+00  E_rad_ttl = 2.5879e+07  E_dep = 5.1782e+08  Fdrag = 3.6382e+03  theta_deg = 60.000
q_h = 4.1147e+07  q = 1.8287e+03  M = 4.0080e+01  T_stag = 6.5762e+04  p_stag = 1.8306e+03  T_surf = 5.3287e+03
T = 4.0685e+02  p = 1.8974e+00  rho = 1.6255e-05  a = 3.7426e+02  tau = 4.9977e-02  frag_stage = 0

time = 1.1400e-01  lum = 2.4908e+08  alt = 6.4667e+06  mass = 3.9065e+03  dia = 1.2995e+00  area = 5.3051e+00
KE = 4.3950e+11  v = 1.5000e+04  acc = 1.6752e+00  E_rad_ttl = 2.6626e+07  E_dep = 5.3277e+08  Fdrag = 3.6511e+03  theta_deg = 60.000
q_h = 4.1293e+07  q = 1.8352e+03  M = 4.0085e+01  T_stag = 6.5762e+04  p_stag = 1.8371e+03  T_surf = 5.3334e+03
