time_seconds,energy
1773752201.029,8.584153759995036e-15
1773752201.031,8.484165755736402e-15
1773752201.033,9.284069789805473e-15
1773752201.035,8.984105777029572e-15
1773752201.037,8.984105777029572e-15
1773752201.039,9.284069789805473e-15
1773752201.041,8.784129768512304e-15
1773752201.043,9.784009811098643e-15
1773752201.046,9.084093781288206e-15
1773752201.047,9.084093781288206e-15
1773752201.049,9.384057794064107e-15
1773752201.051,9.98398581961591e-15
1773752201.053,9.18408178554684e-15
1773752201.055,9.384057794064107e-15
1773752201.057,9.684021806840009e-15
1773752201.059,9.284069789805473e-15
1773752201.061,9.084093781288206e-15
1773752201.065,8.384177751477769e-15
1773752201.067,8.584153759995036e-15
1773752201.069,8.1842017429605e-15
1773752201.071,8.384177751477769e-15
1773752201.073,8.584153759995036e-15
1773752201.075,8.284189747219135e-15
1773752201.077,8.284189747219135e-15
1773752201.079,8.68414176425367e-15
1773752201.081,8.284189747219135e-15
1773752201.083,8.084213738701867e-15
1773752201.085,8.284189747219135e-15
1773752201.087,7.884237730184599e-15
1773752201.089,7.784249725925965e-15
1773752201.091,7.484285713150064e-15
1773752201.093,7.584273717408697e-15
1773752201.095,7.184321700374162e-15
1773752201.097,7.584273717408697e-15
1773752201.099,6.984345691856894e-15
1773752201.101,6.284429662046457e-15
1773752201.103,6.384417666305091e-15
1773752201.105,6.184441657787823e-15
1773752201.107,6.284429662046457e-15
1773752201.109,6.384417666305091e-15
1773752201.111,5.7844896407532875e-15
1773752201.113,5.984465649270555e-15
1773752201.115,5.7844896407532875e-15
1773752201.117,5.484525627977386e-15
1773752201.119,6.184441657787823e-15
1773752201.121,5.384537623718752e-15
1773752201.123,5.08457361094285e-15
1773752201.125,5.184561615201484e-15
1773752201.127,5.184561615201484e-15
1773752201.129,4.9845856066842165e-15
1773752201.131,4.8845976024255826e-15
1773752201.133,4.9845856066842165e-15
1773752201.135,5.284549619460118e-15
1773752201.137,4.784609598166949e-15
1773752201.139,4.8845976024255826e-15
1773752201.141,4.284669576873779e-15
1773752201.143,4.284669576873779e-15
1773752201.145,4.0846935683565115e-15
1773752201.147,4.684621593908315e-15
1773752201.149,4.1846815726151454e-15
1773752201.151,3.384777962062548e-15
1773752201.153,3.18480195354528e-15
1773752201.155,2.584873927993477e-15
1773752201.157,2.8848379407693785e-15
1773752201.159,2.8848379407693785e-15
1773752201.161,1.9849459024416736e-15
1773752201.163,1.784969893924406e-15
1773752201.165,1.684981889665772e-15
1773752201.216,1.8849578981830397e-15
1773752201.218,1.684981889665772e-15
1773752201.22,1.684981889665772e-15
1773752201.222,1.3850178768898703e-15
1773752201.226,2.1849219109589414e-15
1773752201.228,2.0849339067003075e-15
1773752201.23,2.0849339067003075e-15
1773752201.232,2.1849219109589414e-15
1773752201.234,1.784969893924406e-15
1773752201.236,1.8849578981830397e-15
1773752201.238,2.484885923734843e-15
1773752201.24,2.8848379407693785e-15
1773752201.242,2.6848619322521108e-15
1773752201.244,2.6848619322521108e-15
1773752201.246,2.2849099152175752e-15
1773752201.248,2.584873927993477e-15
1773752201.25,2.9848259450280124e-15
1773752201.252,3.18480195354528e-15
1773752201.254,3.484765966321182e-15
1773752201.256,3.484765966321182e-15
1773752201.258,3.484765966321182e-15
1773752201.26,3.384777962062548e-15
1773752201.262,3.18480195354528e-15
1773752201.264,3.7847299790970835e-15
1773752201.266,3.6847419748384496e-15
1773752201.268,3.884717559839244e-15
1773752201.27,3.584753970579816e-15
1773752201.272,4.1846815726151454e-15
1773752201.274,3.584753970579816e-15
1773752201.276,4.384657581132413e-15
1773752201.278,4.784609598166949e-15
1773752201.28,4.0846935683565115e-15
1773752201.282,4.484645585391047e-15
1773752201.284,4.784609598166949e-15
1773752201.286,4.584633589649681e-15
1773752201.288,4.584633589649681e-15
1773752201.29,4.784609598166949e-15
1773752201.292,5.184561615201484e-15
1773752201.294,4.784609598166949e-15
1773752201.296,4.784609598166949e-15
1773752201.298,5.184561615201484e-15
1773752201.3,5.284549619460118e-15
1773752201.302,5.58451363223602e-15
1773752201.304,5.284549619460118e-15
1773752201.306,5.08457361094285e-15
1773752201.308,5.7844896407532875e-15
1773752201.31,5.484525627977386e-15
1773752201.312,5.8844776450119214e-15
1773752201.314,6.384417666305091e-15
1773752201.318,6.784369683339626e-15
1773752201.32,6.6843816790809925e-15
1773752201.322,7.584273717408697e-15
1773752201.324,7.784249725925965e-15
1773752201.326,7.884237730184599e-15
1773752201.328,8.284189747219135e-15
1773752201.33,8.484165755736402e-15
1773752201.332,8.68414176425367e-15
1773752201.334,8.884117772770938e-15
1773752201.335,9.384057794064107e-15
1773752201.338,9.484045798322741e-15
1773752201.34,9.98398581961591e-15
1773752201.342,9.883997815357277e-15
1773752201.343,1.0383937836650446e-14
1773752201.345,1.1183841870719517e-14
1773752201.348,1.1683781892012687e-14
1773752201.35,1.2083733909047222e-14
1773752201.351,1.2583673930340392e-14
1773752201.353,1.2883637943116293e-14
1773752201.356,1.3383577964409463e-14
1773752201.358,1.3683541977185364e-14
1773752201.359,1.40834939942199e-14
1773752201.361,1.528334919829056e-14
1773752201.363,1.528334919829056e-14
1773752201.366,1.5483325206807827e-14
1773752201.367,1.618324208365121e-14
1773752201.369,1.6583194100685747e-14
1773752201.371,1.7283109283463237e-14
1773752201.373,1.8083013317532308e-14
1773752201.375,1.7783050151789354e-14
1773752201.377,1.7783050151789354e-14
1773752201.379,1.888291735160138e-14
1773752201.381,1.888291735160138e-14
1773752201.383,1.9082893360118647e-14
1773752201.385,2.0182762253996567e-14
1773752201.387,2.0182762253996567e-14
1773752201.389,2.1082653445291324e-14
1773752201.391,2.1282629453808592e-14
1773752201.393,2.2182522339169244e-14
1773752201.395,2.3182402381755583e-14
1773752201.397,2.3682341556015805e-14
1773752201.399,2.4982186458410993e-14
1773752201.401,2.5282149624153948e-14
1773752201.403,2.658199283248324e-14
1773752201.405,2.688195769229209e-14
1773752201.407,2.8281789751912964e-14
1773752201.409,2.898170324062456e-14
1773752201.411,2.958163296024226e-14
1773752201.413,2.978160727469363e-14
1773752201.415,3.1081450483022924e-14
1773752201.417,3.208133221967516e-14
1773752201.419,3.2681258551161066e-14
1773752201.421,3.3781127445038986e-14
1773752201.423,3.508097065336828e-14
1773752201.425,3.498098349614259e-14
1773752201.427,3.5980865232794826e-14
1773752201.429,3.67807692668639e-14
1773752201.431,3.808061247519319e-14
1773752201.433,3.888051650926226e-14
1773752201.435,3.9280468526296797e-14
1773752201.437,4.0480324577400403e-14
1773752201.439,4.0980263751660626e-14
1773752201.441,4.168018062850401e-14
1773752201.443,4.397990218535375e-14
1773752201.445,4.4579831904971445e-14
1773752201.447,4.557971025349189e-14
1773752201.449,4.717951832163003e-14
1773752201.451,4.747948318143888e-14
1773752201.453,4.937925610938587e-14
1773752201.455,4.9579230423837245e-14
1773752201.457,5.117903849197539e-14
1773752201.459,5.117903849197539e-14
1773752201.461,5.217892022862762e-14
1773752201.463,5.377872829676576e-14
1773752201.465,5.3978702611217136e-14
1773752201.467,5.497858434786937e-14
1773752201.469,5.6478401870650036e-14
1773752201.471,5.757827754079153e-14
1773752201.473,5.867813965840588e-14
1773752201.475,6.007797341209264e-14
1773752201.477,6.157779771113689e-14
1773752201.479,6.287764091946618e-14
1773752201.481,6.387751926798663e-14
1773752201.483,6.567730165057614e-14
1773752201.485,6.737710026407176e-14
1773752201.487,6.787703943833198e-14
1773752201.489,7.067670016944194e-14
1773752201.491,7.317640281700663e-14
1773752201.493,7.39763068510757e-14
1773752201.495,7.607605409347407e-14
1773752201.497,7.727590675644588e-14
1773752201.499,7.977560940401057e-14
1773752201.501,8.107545261233987e-14
1773752201.503,8.317519985473823e-14
1773752201.504,8.507497278268522e-14
1773752201.507,8.687475516527474e-14
1773752201.509,8.777464974470128e-14
1773752201.511,9.087427533562009e-14
1773752201.512,9.217411854394938e-14
1773752201.514,9.307401312337593e-14
1773752201.519,9.647360357410359e-14
1773752201.52,9.747348869888761e-14
1773752201.522,9.987320080109482e-14
1773752201.525,9.987320080109482e-14
1773752201.527,1.0137301832387549e-13
1773752201.528,1.0307281016110753e-13
1773752201.53,1.044726439147943e-13
1773752201.532,1.0687235601700151e-13
1773752201.535,1.0807221545623691e-13
1773752201.536,1.093720586645662e-13
1773752201.538,1.1247168425548501e-13
1773752201.54,1.1407148554735957e-13
1773752201.542,1.1417147609271705e-13
1773752201.544,1.1657118141866069e-13
1773752201.546,1.170711205929209e-13
1773752201.548,1.1857095166822873e-13
1773752201.55,1.169711436000906e-13
1773752201.552,1.1877091920641653e-13
1773752201.554,1.2047071781991214e-13
1773752201.556,1.2297041369121325e-13
1773752201.558,1.2297041369121325e-13
1773752201.56,1.2217051643340776e-13
1773752201.562,1.251701514789691e-13
1773752201.564,1.2816980007705758e-13
1773752201.566,1.2986958513802604e-13
1773752201.568,1.312694256679764e-13
1773752201.57,1.3206932292578188e-13
1773752201.572,1.3416907016818025e-13
1773752201.574,1.3596885932703334e-13
1773752201.576,1.3976840518292732e-13
1773752201.578,1.4146820379642294e-13
1773752201.58,1.4466781993269923e-13
1773752201.582,1.455677077358622e-13
1773752201.584,1.467675671750976e-13
1773752201.586,1.500671603042042e-13
1773752201.588,1.5216690754660256e-13
1773752201.59,1.5396669670545565e-13
1773752201.592,1.5716631284173194e-13
1773752201.594,1.5886611145522755e-13
1773752201.596,1.6116583978834087e-13
1773752201.598,1.6436545592461715e-13
1773752201.6,1.684649598640564e-13
1773752201.602,1.716645760003327e-13
1773752201.604,1.7386431378808853e-13
1773752201.606,1.7686394883364986e-13
1773752201.608,1.7976360688638088e-13
1773752201.61,1.816633730380643e-13
1773752201.612,1.8616283915893345e-13
1773752201.614,1.8866253503023456e-13
1773752201.616,1.9316198759857656e-13
1773752201.618,1.927620389696738e-13
1773752201.62,1.9666157537092527e-13
1773752201.622,1.9786143481016066e-13
1773752201.624,2.0426066708271323e-13
1773752201.626,2.076602507571773e-13
1773752201.628,2.1135980606771382e-13
1773752201.63,2.1095985743881107e-13
1773752201.632,2.139594924843724e-13
1773752201.634,2.1545931000715307e-13
1773752201.636,2.1795901943098134e-13
1773752201.638,2.2175856528687532e-13
1773752201.64,2.208586639311852e-13
1773752201.642,2.226584530900383e-13
1773752201.644,2.2305840171894104e-13
1773752201.646,2.2545812059741183e-13
1773752201.648,2.2645799894593227e-13
1773752201.65,2.2755788139233735e-13
1773752201.652,2.2755788139233735e-13
1773752201.654,2.289576948172334e-13
1773752201.656,2.2985758262039635e-13
