Bolide Luminosity and Fragmentation Simulation — v7
Dia: 1.1 m | Vel: 14.4 km/s | theta: 38.0 deg | Strength: 6.0e+06 → 1.0e+07 Pa

Initial area     = 3.8013e+00 m²
Initial mass     = 2.3695e+03 kg
Initial strength = 6.0000e+06 Pa

Initial altitude = 6.4581e+06 meters
Initial position = 0.0000e+00 meters
Initial velocity = 1.4400e+04 m/s
Initial time     = 0.0000e+00 s

Initial angle of entry = 38.000 deg
Initial angle of entry = 0.663 rad

Initial x-component velocity = 1.1347e+04 m/s
Initial z-component velocity = -8.8655e+03 m/s
Initial alpha angle          = 0.0000e+00 deg
Initial delta angle          = 5.2000e+01 deg
Initial gamma angle          = 5.2000e+01 deg
Initial flight path angle    = 3.8000e+01 deg
Initial downrange distance   = 0.0000e+00 meters
Initial Earth surface x-comp = 6.3781e+06 meters
Initial Earth surface z-comp = 6.3781e+06 meters

Setting total radiated energy to 0.0000e+00 J

KE = 2.4527e+11  v = 1.4400e+04  acc = 2.1130e+00  E_rad_ttl = 3.5134e+06  E_dep = 4.2124e+08  Fdrag = 5.6730e+03  theta_deg = 38.000
q_h = 8.6052e+07  q = 3.9839e+03  M = 3.9836e+01  T_stag = 6.0609e+04  p_stag = 3.9881e+03  T_surf = 6.4081e+03
T = 3.7955e+02  p = 4.1843e+00  rho = 3.8425e-05  a = 3.6148e+02  tau = 8.4847e-03  frag_stage = 0

time = 6.6000e-02  lum = 5.8432e+07  alt = 6.4576e+06  mass = 2.3653e+03  dia = 1.0993e+00  area = 3.7968e+00
KE = 2.4525e+11  v = 1.4400e+04  acc = 2.1157e+00  E_rad_ttl = 3.6887e+06  E_dep = 4.4187e+08  Fdrag = 5.6874e+03  theta_deg = 38.000
q_h = 8.6276e+07  q = 3.9943e+03  M = 3.9840e+01  T_stag = 6.0609e+04  p_stag = 3.9985e+03  T_surf = 6.4122e+03
T = 3.7947e+02  p = 4.1943e+00  rho = 3.8525e-05  a = 3.6145e+02  tau = 8.4994e-03  frag_stage = 0

time = 6.9000e-02  lum = 5.8682e+07  alt = 6.4575e+06  mass = 2.3651e+03  dia = 1.0993e+00  area = 3.7966e+00
KE = 2.4523e+11  v = 1.4400e+04  acc = 2.1185e+00  E_rad_ttl = 3.8647e+06  E_dep = 4.6255e+08  Fdrag = 5.7019e+03  theta_deg = 38.000
q_h = 8.6500e+07  q = 4.0047e+03  M = 3.9844e+01  T_stag = 6.0609e+04  p_stag = 4.0089e+03  T_surf = 6.4164e+03
T = 3.7939e+02  p = 4.2043e+00  rho = 3.8625e-05  a = 3.6141e+02  tau = 8.5142e-03  frag_stage = 0

time = 7.2000e-02  lum = 5.8934e+07  alt = 6.4575e+06  mass = 2.3649e+03  dia = 1.0993e+00  area = 3.7964e+00
KE = 2.4521e+11  v = 1.4400e+04  acc = 2.1213e+00  E_rad_ttl = 4.0415e+06  E_dep = 4.8328e+08  Fdrag = 5.7164e+03  theta_deg = 38.000
q_h = 8.6725e+07  q = 4.0151e+03  M = 3.9848e+01  T_stag = 6.0609e+04  p_stag = 4.0193e+03  T_surf = 6.4206e+03
T = 3.7931e+02  p = 4.2143e+00  rho = 3.8726e-05  a = 3.6137e+02  tau = 8.5290e-03  frag_stage = 0

